group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–光電,電子上游-IC-導線架,一詮,6.72,-0.54,47.86968,-2.24,228.30504,-0.43,657.23901,10.74,1491.18346,-8.54,47.86968,-2.24
電子–電子零組件,電子中游-散熱零組件,健策,46.7,4.09,207.66014,-10.93,778.95628,-17.12,2719.20097,9.89,6996.29118,82.9,207.66014,-10.93
電子–電子零組件,電子上游-ABF,南電,9.8,1.48,122.05566,-1.66,414.89271,-16.55,2799.32976,-11.4,6687.27256,95.98,122.05566,-1.66
電子–光電,電子中游-儀器設備工程,牧德,2.55,1.19,40.05676,-4.73,155.63146,7.25,364.25369,9.33,1846.15565,69.19,40.05676,-4.73
航運業,傳產-航運,長榮,16.7,0,120.78283,1.84,346.85458,8.4,1263.18478,8.1,7810.43414,8.73,120.78283,1.84
電子–電子零組件,電子上游-PCB-材料設備,德宏,2.41,-1.46,19.0504,-7.19,67.08286,6.97,169.73793,32.84,418.86389,660.68,19.0504,-7.19
鋼鐵工業,傳產-鋼鐵,中鋼,6.26,-1.04,52.53967,0.79,138.33434,3.79,325.77421,0.79,1515.55197,7.58,52.53967,0.79
電子–光電,電子上游-PCB-製造,台表科,0.07345,0,9.97536,0.63,37.22301,-4.48,114.07425,-10.7,435.91658,-2.11,9.97536,0.63
電子–其他電子,電子中游-儀器設備工程,德律,4.33,2.06,34.74059,-11.49,215.13367,3.04,378.84897,10.42,1263.45583,46.2,34.74059,-11.49
電子–電子通路,電子上游-IC-通路,文曄,3.03,0.69,61.14495,6.2,296.96999,-3.64,796.77726,4.68,1806.92909,37.86,61.14495,6.2
電機機械,傳產-電機,鈦昇,2.33,-1.42,42.11469,-3.2,104.71294,6.21,173.55893,20.45,332.8972,38.38,42.11469,-3.2
電子–電子零組件,電子上游-PCB-製造,毅嘉,3.4,1.24,38.35501,-10.63,289.23559,-7.7,417.51958,12.38,1060.09856,69.68,38.35501,-10.63
電子–半導體,電子上游-IC-封測,台星科,5.71,3.67,18.55949,-3.16,106.416,25.9,132.87628,34.17,206.03485,21.11,18.55949,-3.16
電機機械,傳產-電機,東元,13.5,2.33,46.03282,-2.86,340.06376,-5.77,2139.17916,-27.47,5424.16219,62.23,46.03282,-2.86
電子–半導體,電子上游-IC-設計,譜瑞-KY,10.5,2.26,66.6939,5.99,137.27482,-0.48,392.36441,-19.82,1674.95586,-7.4,66.6939,5.99
